name,ssd
601860:601077,296.71614096472877
601997:601860,300.62888088824934
600919:601860,302.6597521367218
601997:601077,303.9900725471816
601860:002936,304.44674341798697
600919:601077,306.0617122695029
600000:601860,306.42956430473606
601169:601860,306.7885374017154
601166:601860,307.628801240655
002936:601077,307.813790329208
601818:601860,308.9718109770187
601860:601916,309.0904620141533
601860:600015,309.6139991009313
601860:601998,309.6425260476007
601939:601860,309.7034542233536
600000:601077,309.816791876709
600919:601997,310.1292545238978
601169:601077,310.2123725945661
601860:002958,310.54061423049944
601860:601229,310.7016615435268
601166:601077,311.0517754198666
601997:002936,311.8822135446398
601860:603323,312.1079540406841
601818:601077,312.340327916873
601916:601077,312.4810238620479
601860:600016,312.8269402863128
601860:601398,312.9625421117229
601998:601077,313.0527000812346
600015:601077,313.0567233806861
601939:601077,313.1245607119478
601860:002948,313.6403921894381
601997:600000,313.88757475721076
601077:002958,313.92014398650315
600919:002936,314.0141987204325
601077:601229,314.12902120061426
601009:601860,314.1329731377301
601997:601169,314.32192549582925
601860:600928,314.4554109999192
601166:601997,315.1355557953649
000001:601860,315.16407190113273
603323:601077,315.49051416331775
601860:601288,315.59309137654367
600919:600000,316.0098048411667
600016:601077,316.2847359238646
601077:601398,316.43000531647107
601997:601818,316.43364182561385
600919:601169,316.4709237014566
601997:601916,316.58733264805585
601577:601860,316.6383912595766
002948:601077,317.03163813761995
601838:601860,317.13623246850443
601997:601998,317.17041946571607
601997:600015,317.18688295183506
600919:601166,317.2495644302353
600036:601860,317.2626785603193
601997:601939,317.26796017994155
601009:601077,317.59457606409285
002142:601860,317.7034284623019
600000:002936,317.80726126203876
601860:601328,317.8234685349663
600928:601077,317.86045467221595
601997:002958,317.9568872473843
601169:002936,318.256634493039
601997:601229,318.2834621980319
600919:601818,318.5609343121642
000001:601077,318.65063739229987
600919:601916,318.7427195666222
601860:002807,318.944584475225
600926:601860,319.00790221590194
601166:002936,319.0203753657358
601288:601077,319.044843725828
600919:601998,319.3214535941785
600919:600015,319.34895433615856
600919:601939,319.4467209305565
601997:603323,319.6000219595624
601658:601860,319.8035608366194
600919:002958,320.02618484383015
601577:601077,320.0909865637746
601169:600000,320.25348047274525
601818:002936,320.36441829205336
600919:601229,320.4569696276874
601997:600016,320.4599420811661
002936:601916,320.5637327264922
601997:601398,320.58675006381554
601838:601077,320.6416540242352
600036:601077,320.8110779512114
601166:600000,321.0618756265647
