,ts_code,name,count,exchange,list_date,type
0,864006.TI,固态电池,3.0,A,,N
1,864007.TI,太阳能,16.0,A,,N
2,864008.TI,激光雷达,3.0,A,,N
3,864009.TI,CAR-T,12.0,A,,N
4,864010.TI,NFT,18.0,A,,N
5,864011.TI,社交概念,8.0,A,,N
6,864012.TI,氢能源,3.0,A,,N
7,864013.TI,WSB概念,14.0,A,,N
8,864014.TI,基因编辑,5.0,A,,N
9,864015.TI,邮轮,4.0,A,,N
10,864016.TI,OLED,4.0,A,,N
11,864017.TI,太空旅行,13.0,A,,N
12,864018.TI,AR&元宇宙,10.0,A,,N
13,864019.TI,老年痴呆,4.0,A,,N
14,864020.TI,大麻,20.0,A,,N
15,864021.TI,充电桩,4.0,A,,N
16,864022.TI,5G,19.0,A,,N
17,864023.TI,远程办公,4.0,A,,N
18,864024.TI,3D打印,9.0,A,,N
19,864025.TI,无人机,3.0,A,,N
20,864026.TI,SaaS,34.0,A,,N
21,864027.TI,新冠概念,27.0,A,,N
22,864028.TI,新能源车,20.0,A,,N
23,864029.TI,川普概念股,3.0,A,,N
24,865001.TI,水利,7.0,US,20180108,N
25,865002.TI,无人驾驶,7.0,US,20180108,N
26,865003.TI,铝业,5.0,US,20180108,N
27,865004.TI,苹果概念股,26.0,US,20180108,N
28,865005.TI,风电,5.0,US,20180108,N
29,865006.TI,电信运营,8.0,US,20180108,N
30,865007.TI,锂电池,7.0,US,20180108,N
31,865008.TI,特斯拉概念,5.0,US,20180108,N
32,865009.TI,现代服务业,35.0,US,20180108,N
33,865010.TI,基因测序,6.0,US,20180108,N
34,865011.TI,油气开采,13.0,US,20180108,N
35,865012.TI,汽车制造,18.0,US,20180108,N
36,865013.TI,区块链,32.0,US,20180108,N
37,865014.TI,奢侈品,4.0,US,20180108,N
38,865015.TI,搜索引擎,5.0,US,20180108,N
39,865016.TI,农业现代化,7.0,US,20180108,N
40,865017.TI,量子通信,5.0,US,20180108,N
41,865018.TI,博彩,19.0,US,20180108,N
42,865019.TI,智能家居,10.0,US,20180108,N
43,865020.TI,酒业,5.0,US,20180108,N
44,865021.TI,干细胞,4.0,US,20180108,N
45,865022.TI,核电,7.0,US,20180108,N
46,865023.TI,乳业,4.0,US,20180108,N
47,865024.TI,生物质能,6.0,US,20180108,N
48,865025.TI,固废处理,5.0,US,20180108,N
49,865026.TI,抗癌医药,19.0,US,20180108,N
50,865027.TI,特朗普税改,10.0,US,20180108,N
51,865028.TI,巴菲特持股,40.0,US,20180108,N
52,865029.TI,在线旅游,5.0,US,20180108,N
53,865030.TI,黄金,48.0,US,20180108,N
54,865031.TI,页岩油,12.0,US,20180108,N
55,865032.TI,天然气,23.0,US,20180108,N
56,865033.TI,CAR-T,5.0,US,20180108,N
57,865034.TI,电子竞技,7.0,US,20180108,N
58,865035.TI,虚拟现实,6.0,US,20180108,N
59,865036.TI,医疗保险,7.0,US,20180108,N
60,865037.TI,纳米,13.0,US,20180108,N
61,865038.TI,光纤,10.0,US,20180108,N
62,865039.TI,互联网金融,8.0,US,20180108,N
63,865040.TI,智慧城市,10.0,US,20180108,N
64,865041.TI,大消费,7.0,US,20180108,N
65,865042.TI,OLED,4.0,US,20180108,N
66,865044.TI,航空租赁,6.0,US,20180108,N
67,865045.TI,3D打印,5.0,US,20180108,N
68,865046.TI,餐饮连锁,10.0,US,20180108,N
69,865047.TI,固态硬盘,5.0,US,20180108,N
70,865048.TI,数字音乐,7.0,US,20180108,N
71,865049.TI,AR概念股,6.0,US,20180108,N
72,865050.TI,物联网,7.0,US,20180108,N
73,865051.TI,网络安全,6.0,US,20180108,N
74,865052.TI,财产管理,38.0,US,20180108,N
75,865053.TI,半导体,30.0,US,20180108,N
76,865054.TI,新能源汽车,15.0,US,20180108,N
77,865055.TI,互联网+,10.0,US,20180108,N
78,865056.TI,大数据,11.0,US,20180108,N
79,865057.TI,太阳能,12.0,US,20180108,N
80,865058.TI,油气装备,17.0,US,20180108,N
81,865059.TI,信用支付,6.0,US,20180108,N
82,865060.TI,智能穿戴,3.0,US,20180108,N
83,865061.TI,生物疫苗,6.0,US,20180108,N
84,865062.TI,军工,23.0,US,20180108,N
85,865063.TI,5G,21.0,US,20180108,N
86,865064.TI,人工智能,23.0,US,20180108,N
87,865065.TI,人脸识别,5.0,US,20180108,N
88,865066.TI,体育,14.0,US,20180108,N
89,865067.TI,内地房地产,5.0,US,20180108,N
90,865068.TI,国企改革,3.0,US,20180108,N
91,865069.TI,工程建设,2.0,US,20180108,N
92,865070.TI,枪械制造,3.0,US,20180108,N
93,865071.TI,流媒体,6.0,US,20180108,N
94,865072.TI,特朗普概念,20.0,US,20180108,N
95,865073.TI,科技股,19.0,US,,N
96,865074.TI,文化传媒,11.0,US,20180108,N
97,865075.TI,网络视频,5.0,US,20180108,N
98,865076.TI,医疗器械,12.0,US,20180108,N
99,865077.TI,生物医药,39.0,US,20180108,N
100,865078.TI,云计算,9.0,US,20180108,N
101,865079.TI,移动支付,5.0,US,20180108,N
102,865080.TI,明星股,328.0,US,20180108,N
103,865081.TI,O2O,7.0,US,20180108,N
104,865082.TI,集成电路,7.0,US,20180108,N
