date,open,high,low,close,volume
2018-12-28,270.33,271.73,269.99,271.05,166363.0
2018-12-27,273.02,274.15,270.14,270.24,165540.0
2018-12-26,271.6,272.33,270.31,271.14,176531.0
2018-12-25,273.75,273.75,269.03,271.83,230308.0
2018-12-24,273.1,274.35,272.87,274.16,144542.0
2018-12-21,276.28,276.28,273.03,273.14,198427.0
2018-12-20,276.64,276.87,275.5,276.33,150702.0
2018-12-19,277.26,277.71,276.32,276.79,107842.0
2018-12-18,278.57,279.02,276.31,277.34,137964.0
2018-12-17,278.99,279.17,277.36,278.74,127442.0
2018-12-14,282.25,282.25,278.93,279.4,156640.0
2018-12-13,279.92,283.1,279.79,282.3,202463.0
2018-12-12,278.72,279.85,278.72,279.85,164230.0
2018-12-11,278.3,278.97,278.13,278.92,144749.0
2018-12-10,280.28,280.28,277.8,278.29,181351.0
2018-12-07,280.44,280.95,279.85,280.68,128771.0
2018-12-06,282.42,282.42,279.71,280.5,225481.0
2018-12-05,283.11,283.57,281.89,282.71,306861.0
2018-12-04,284.27,285.18,283.79,285.18,256793.0
2018-12-03,281.25,284.82,281.25,284.32,406502.0
2018-11-30,277.49,279.79,277.23,279.42,528443.0
2018-11-29,279.79,280.52,277.53,278.11,246567.0
2018-11-28,277.17,279.5,275.91,279.5,254071.0
2018-11-27,276.07,278.13,276.07,277.23,232647.0
2018-11-26,276.28,277.54,275.18,276.05,244482.0
2018-11-23,283.34,283.34,276.26,277.16,455356.0
2018-11-22,283.35,284.28,281.98,283.67,192510.0
2018-11-21,280.32,283.43,279.4,283.43,325424.0
2018-11-20,285.8,285.8,281.48,281.79,456698.0
2018-11-19,287.15,287.83,285.06,287.68,500923.0
2018-11-16,284.63,289.6,284.06,287.56,754431.0
2018-11-15,280.38,284.48,279.73,284.48,543361.0
2018-11-14,279.45,282.14,278.8,280.27,489516.0
2018-11-13,276.14,280.44,274.64,279.38,474882.0
2018-11-12,273.63,276.58,272.89,276.54,282053.0
2018-11-09,275.64,275.64,273.49,273.77,300941.0
2018-11-08,276.59,277.99,275.67,275.92,307021.0
2018-11-07,277.65,277.68,275.96,276.25,294365.0
2018-11-06,278.15,278.15,275.51,277.84,419002.0
2018-11-05,276.9,279.35,276.15,277.99,361206.0
2018-11-02,274.1,277.44,274.1,277.44,321965.0
2018-11-01,273.72,275.28,273.01,273.32,236448.0
2018-10-31,270.05,274.07,269.95,273.79,258317.0
2018-10-30,266.54,270.69,264.77,269.57,181052.0
2018-10-29,270.12,270.25,265.82,266.61,129674.0
2018-10-26,270.3,272.04,269.36,270.44,164598.0
2018-10-25,267.9,269.74,265.02,269.74,264218.0
2018-10-24,269.51,272.63,268.69,270.67,240261.0
2018-10-23,274.4,274.4,268.54,269.94,322264.0
2018-10-22,263.0,275.5,263.0,274.01,516682.0
2018-10-19,254.46,262.45,253.22,261.76,290420.0
2018-10-18,262.53,262.53,255.03,255.66,256350.0
2018-10-17,263.41,265.46,259.03,262.58,230732.0
2018-10-16,270.07,271.02,260.36,260.77,278904.0
2018-10-15,272.74,273.72,269.56,269.99,170081.0
2018-10-12,270.48,273.19,265.9,272.51,331922.0
2018-10-11,279.96,281.82,269.76,271.15,601492.0
2018-10-10,284.59,286.57,283.81,285.08,205217.0
2018-10-09,283.67,285.75,283.57,284.81,177112.0
2018-10-08,288.45,288.45,283.43,283.43,329283.0
2018-09-28,288.01,290.59,288.0,290.2,305061.0
2018-09-27,288.09,289.26,287.78,288.71,187445.0
2018-09-26,286.69,289.65,286.69,288.72,230426.0
2018-09-25,287.55,287.55,285.86,287.24,140717.0
2018-09-21,284.82,288.6,284.82,288.6,238632.0
2018-09-20,285.34,286.05,284.41,284.53,123498.0
2018-09-19,282.75,286.03,282.43,285.33,221596.0
2018-09-18,279.79,282.95,279.51,282.93,176852.0
2018-09-17,281.79,281.79,279.62,279.84,101824.0
2018-09-14,282.55,283.09,281.56,281.88,93836.0
2018-09-13,280.44,282.65,279.77,282.65,140381.0
2018-09-12,280.95,281.4,279.55,279.96,132711.0
2018-09-11,282.0,282.78,280.43,281.38,183401.0
2018-09-10,285.65,285.67,282.24,282.33,164768.0
2018-09-07,285.35,287.87,285.2,285.7,128249.0
2018-09-06,286.46,287.39,285.24,285.34,123093.0
2018-09-05,288.87,289.08,286.38,286.62,132986.0
2018-09-04,286.53,289.05,286.38,289.04,176670.0
2018-09-03,286.98,287.33,284.89,286.55,143066.0
2018-08-31,287.48,287.78,285.35,287.25,208845.0
2018-08-30,288.55,289.04,287.06,287.61,177841.0
2018-08-29,288.87,289.41,288.07,288.49,183010.0
2018-08-28,289.49,290.2,288.97,289.35,131299.0
2018-08-27,285.67,289.38,285.67,289.26,214433.0
2018-08-24,285.98,286.13,284.73,285.35,104205.0
2018-08-23,285.59,286.68,284.48,286.34,142590.0
2018-08-22,286.34,286.76,285.31,285.53,140220.0
2018-08-21,283.21,286.64,283.21,286.24,197529.0
2018-08-20,283.17,284.89,280.58,283.35,229464.0
2018-08-17,285.6,286.69,282.94,283.14,204553.0
2018-08-16,285.51,286.79,283.55,284.91,232731.0
2018-08-15,289.36,290.46,286.18,286.35,282214.0
2018-08-14,288.84,289.85,288.23,289.55,210055.0
2018-08-13,288.9,288.91,286.48,288.81,189786.0
2018-08-10,288.44,290.09,288.37,289.31,191416.0
2018-08-09,284.68,289.03,284.21,288.55,233974.0
2018-08-08,287.0,288.64,283.97,284.56,326863.0
2018-08-07,280.77,286.61,280.77,286.2,233149.0
2018-08-06,285.08,285.97,280.37,280.61,227264.0
2018-08-03,286.39,287.29,284.99,285.27,244631.0
2018-08-02,291.67,291.75,282.79,286.93,375976.0
2018-08-01,292.74,295.1,291.62,291.79,276640.0
2018-07-31,292.28,293.31,292.05,292.93,195495.0
2018-07-30,293.44,294.19,291.57,292.32,236758.0
2018-07-27,293.4,294.25,293.22,293.54,224407.0
2018-07-26,293.23,294.18,292.38,293.09,237754.0
2018-07-25,293.06,293.74,292.67,293.31,180883.0
2018-07-24,289.09,292.96,289.09,292.78,294168.0
2018-07-23,287.49,289.53,286.61,289.44,222239.0
2018-07-20,286.46,287.89,284.28,287.72,175604.0
2018-07-19,288.39,288.56,286.3,286.62,124345.0
2018-07-18,288.74,289.8,288.04,288.49,131462.0
2018-07-17,290.49,290.78,288.74,289.99,123170.0
2018-07-16,290.68,292.0,290.58,290.94,180707.0
2018-07-13,292.26,292.89,291.82,292.61,143880.0
2018-07-12,286.4,292.51,286.4,292.45,219885.0
2018-07-11,291.49,291.49,285.17,286.76,184939.0
2018-07-10,291.43,291.95,290.43,291.9,146222.0
2018-07-09,287.01,291.08,286.9,291.01,187510.0
2018-07-06,286.36,288.32,283.47,286.69,201546.0
2018-07-05,289.47,290.15,286.64,286.82,158395.0
2018-07-04,292.43,292.59,289.12,289.4,124248.0
2018-07-03,291.31,292.54,288.1,292.44,163954.0
2018-07-02,294.72,295.26,290.06,291.46,164511.0
2018-06-29,288.01,295.26,288.01,295.0,262376.0
2018-06-28,287.93,289.8,287.63,287.97,139101.0
2018-06-27,288.26,290.18,287.59,288.07,149246.0
2018-06-26,287.59,289.18,285.73,288.26,179602.0
2018-06-25,289.61,291.37,287.88,288.29,150177.0
2018-06-22,285.26,289.77,284.93,289.63,207964.0
2018-06-21,289.74,292.04,285.21,285.73,230467.0
2018-06-20,286.48,291.23,286.48,289.9,226043.0
2018-06-19,301.53,301.53,284.14,287.01,518515.0
2018-06-15,307.17,307.3,302.25,303.27,401350.0
2018-06-14,307.76,309.36,306.84,307.61,213114.0
2018-06-13,309.08,309.17,307.76,307.97,161414.0
2018-06-12,306.79,309.26,306.02,309.18,192225.0
2018-06-11,308.1,308.13,306.52,306.96,123837.0
2018-06-08,309.75,309.75,306.95,308.63,143780.0
2018-06-07,310.09,311.11,309.51,309.76,152782.0
2018-06-06,309.77,310.5,309.34,309.79,133203.0
2018-06-05,306.05,309.86,305.8,309.69,172229.0
2018-06-04,304.94,306.93,304.94,306.01,213810.0
2018-06-01,309.03,309.2,304.08,304.57,253259.0
2018-05-31,309.63,312.16,306.12,309.06,1189777.0
2018-05-30,315.51,315.51,308.73,309.2,396822.0
2018-05-29,316.34,317.51,316.24,316.52,196528.0
2018-05-28,316.66,317.51,315.24,316.45,250829.0
2018-05-25,318.02,318.34,316.46,316.69,335786.0
2018-05-24,318.66,319.08,317.63,317.95,227541.0
2018-05-23,320.99,320.99,318.3,318.56,230939.0
2018-05-22,321.43,321.48,320.16,321.25,121353.0
2018-05-21,319.88,321.99,319.88,321.39,227563.0
2018-05-18,318.52,320.23,318.21,319.91,226943.0
2018-05-17,320.09,320.41,318.07,318.49,224330.0
2018-05-16,320.77,321.52,320.27,320.32,201336.0
2018-05-15,321.34,321.82,320.22,320.95,223242.0
2018-05-14,321.19,321.9,320.69,321.0,209019.0
2018-05-11,322.26,322.41,321.15,321.41,157662.0
2018-05-10,321.09,322.54,321.09,322.0,196018.0
2018-05-09,321.16,321.29,319.95,320.91,164691.0
2018-05-08,319.73,321.43,319.66,321.29,207512.0
2018-05-07,316.6,319.88,316.4,319.85,203154.0
