date,open,high,low,close,volume
2018-12-28,9.31,9.46,9.31,9.38,576604.0
2018-12-27,9.45,9.49,9.28,9.28,624593.0
2018-12-26,9.35,9.42,9.27,9.3,421140.0
2018-12-25,9.29,9.43,9.21,9.34,586615.0
2018-12-24,9.4,9.45,9.31,9.42,509117.0
2018-12-21,9.68,9.7,9.33,9.45,1000616.0
2018-12-20,9.92,9.97,9.63,9.71,990284.0
2018-12-19,10.14,10.18,9.9,9.94,598007.0
2018-12-18,10.2,10.32,10.1,10.12,537744.0
2018-12-17,10.16,10.33,10.1,10.29,571274.0
2018-12-14,10.34,10.35,10.16,10.17,526675.0
2018-12-13,10.25,10.48,10.2,10.39,790845.0
2018-12-12,10.3,10.32,10.2,10.24,366379.0
2018-12-11,10.21,10.26,10.17,10.23,299089.0
2018-12-10,10.22,10.27,10.13,10.17,494818.0
2018-12-07,10.3,10.39,10.27,10.28,340216.0
2018-12-06,10.36,10.37,10.23,10.25,578866.0
2018-12-05,10.49,10.51,10.4,10.45,581545.0
2018-12-04,10.57,10.62,10.53,10.59,534813.0
2018-12-03,10.59,10.66,10.47,10.59,1064097.0
2018-11-30,10.22,10.36,10.17,10.36,594715.0
2018-11-29,10.35,10.39,10.19,10.2,485284.0
2018-11-28,10.17,10.31,10.16,10.28,537751.0
2018-11-27,10.35,10.39,10.16,10.18,733448.0
2018-11-26,10.34,10.46,10.3,10.34,516569.0
2018-11-23,10.53,10.58,10.31,10.32,700358.0
2018-11-22,10.67,10.67,10.48,10.55,500267.0
2018-11-21,10.5,10.67,10.48,10.61,666157.0
2018-11-20,10.75,10.8,10.52,10.57,1033877.0
2018-11-19,10.57,10.88,10.57,10.85,1360887.0
2018-11-16,10.61,10.72,10.49,10.57,1059592.0
2018-11-15,10.44,10.64,10.42,10.62,901461.0
2018-11-14,10.53,10.55,10.42,10.44,774239.0
2018-11-13,10.41,10.65,10.38,10.54,1072497.0
2018-11-12,10.46,10.58,10.38,10.56,920333.0
2018-11-09,10.71,10.73,10.4,10.55,1629269.0
2018-11-08,10.88,10.97,10.82,10.89,793976.0
2018-11-07,10.83,10.95,10.75,10.81,785597.0
2018-11-06,10.87,10.93,10.73,10.84,735725.0
